Id,Label,latitude,city,state,longitude,Cluster_No,PageRank,Component ID,Eccentricity,Closeness Centrality,Betweenness Centrality
"Mobridge, South-Dakota","Mobridge, South-Dakota",45.5372162,Mobridge,South-Dakota,-100.4279129,11,1.542753212590208E-4,0,4.0,2.87175685693106,0.0
"Deer-Isle, Maine","Deer-Isle, Maine",44.2245068,Deer-Isle,Maine,-68.6777806,3,2.906072201808049E-4,0,4.0,2.210896960711638,0.0
"St-Joseph-Peninsula-State-Park, Florida","St-Joseph-Peninsula-State-Park, Florida",29.7446581,St-Joseph-Peninsula-State-Park,Florida,-85.3955175,0,7.234394083709454E-4,0,4.0,2.029651593773165,393.50108590468255
"Prosser, Washington","Prosser, Washington",46.2067997,Prosser,Washington,-119.7689222,0,1.4846940328371678E-4,0,4.0,2.2301704966641958,0.0
"Grand-Teton-National-Park, Wyoming","Grand-Teton-National-Park, Wyoming",43.9013956,Grand-Teton-National-Park,Wyoming,-110.7704773,0,0.0021453494579333587,0,3.0,1.812083024462565,11778.475507864958
"Moscow, Idaho","Moscow, Idaho",46.7323875,Moscow,Idaho,-117.0001651,0,9.19356855086093E-5,0,4.0,2.479614529280949,0.0
"Baltimore, Maryland","Baltimore, Maryland",39.2903848,Baltimore,Maryland,-76.6121893,0,0.0015953330233756096,0,3.0,1.897331356560415,14647.464725504211
"Fulton, Missouri","Fulton, Missouri",38.8467082,Fulton,Missouri,-91.9479586,0,5.936838185668457E-5,0,4.0,2.616011860637509,0.0
"Vail, Colorado","Vail, Colorado",39.6402638,Vail,Colorado,-106.3741955,0,7.277566990604616E-4,0,4.0,2.001853224610823,4754.238067725491
"Mackinaw-City, Michigan","Mackinaw-City, Michigan",45.7774987,Mackinaw-City,Michigan,-84.7271465,0,2.696821529400528E-4,0,4.0,2.299110452186805,196.83820913526847
"Gila-Bend, Arizona","Gila-Bend, Arizona",32.9478236,Gila-Bend,Arizona,-112.7168305,0,4.899735932397677E-4,0,4.0,2.1660489251297257,546.7714706825429
"Agoura-Hills, California","Agoura-Hills, California",34.1533395,Agoura-Hills,California,-118.7616764,0,5.9316265309631794E-5,0,4.0,2.6808747220163083,0.0
"Palm-Harbor, Florida","Palm-Harbor, Florida",28.0780718,Palm-Harbor,Florida,-82.7637127,0,1.971006752486043E-4,0,4.0,2.383617494440326,5.74752966157934
